species,min,max
Phyllanthus anisolobus,42.5,2375
Phyllanthus niruri,5,1760
Phyllogonium fulgens,600,4200
Physalis pubescens,2,2807
Phytolacca rivinoides,5,3340
Pilea antioquensis,7.5,2171
Pilea filicina,7.5,2825
Pilea imparifolia,7.5,2580
Pilea purulensis,106.68,3450
Pilea riopalenquensis,185,600
Pilea tetrapoda,100,3050
Piper appendiculatum,320.5,2350
Piper augustum,10,3242.5
Piper biseriatum,300,1000
Piper bullosum,250,2760
Piper candelarianum,450,1600
Piper cinereum,2,3122.5
Piper cordilimbum,19.5,1250
Piper entradense,185,650
Piper eustylum,100,650
Piper fallenii,600,930
Piper filistilum,27.5,1800
Piper francoae,450,3200
Piper longepilosum,100,2104
Piper macropiper,25,2330
Piper marginatum,1,3300
Piper miguel-conejoanum,185,1150
Piper multiplinervium,5,1995
Piper obliquum,45,2775
Piper peltatum,2,2720
Piper sancti-felicis,5,1800
Piper sneidernii,90,800
Piper subsessilifolium,50,600
Piper tenuilimbum,27.5,1850
Piper trianae,19.5,2590
Pitcairnia palmoides,700,1690
Pitcairnia simulans,250,1800
Plagiochila aerea,10,3450
Plagiochila deflexirama,184,2951
Platystele acutilingua,220,2500
Pleiostachya morlaei,15,700
Pleiostachya pruinosa,5,1100
Pleopeltis hookeri,15,1400
Pleopeltis wiesbaurii,385,3800
Pleuropetalum sprucei,152.4,2100
Pleurothallis dibolia,400,1500
Pleurothallis loranthophylla,690,3100
Pleurothallis prolaticollaris,100,2900
Pleurothallis pruinosa,50,1650
Pleurothallis ruscifolia,50,2730
Pleurothallis tryssa,450,2200
Pleurothallis undulata,600,2900
Pleurothyrium tomiwahlii,106,1330
Podandrogyne brevipedunculata,100,2068
Podandrogyne flammea,275,2130
Podandrogyne hispidula,20,3171
Podandrogyne jamesonii,150,950
Polybotrya gomezii,450,1600
Polybotrya polybotryoides,209,2100
Polybotrya suberecta,450,2220
Polycycnis lepida,450,1200
Polytaenium lineatum,185,3035
Posoqueria chocoana,15,1800
Posoqueria coriacea,5,3585
Poulsenia armata,1,2240
Prestoea acuminata,30,3085
Prestoea decurrens,2,2236
Prosthechea fragrans,35,2650
Prosthechea vespa,1.52,2900
Protium amplum,20,1800
Protium colombianum,10,2150
Psammisia ferruginea,100,2500
Psammisia sodiroi,500,3000
Psammisia urichiana,5,2350
Pseuderanthemum hookerianum,200,1700
Pseuderanthemum leptorhachis,80,700
Pseuderanthemum subauriculatum,235,1592
Psidium occidentale,375,1950
Psychotria chimboracensis,100,1960
Psychotria horizontalis,2.5,2250
Psychotria hylocharis,50,1500
Psychotria trichotoma,2.5,2310.5
Pteris livida,91,2970
Pteris pungens,25,2050
Quararibea asterolepis,10,1939
Quararibea calycoptera,20,600
Quararibea casasecae,500,1106
Quararibea grandifolia,150,1525
Racinaea hamaleana,200,2800
Racinaea venusta,1,2000
Radiovittaria remota,130,2928
Randia carlosiana,20,860
Renealmia dolichocalyx,250,2030
Rhodospatha dodsonii,210,574.5
Rhynchospora watsonii,7.5,1400
Ronnbergia aciculosa,200,2450
Rudgea citrifolia,100,1000
Ruellia blechum,1,2879
Rugoloa polygonata,1.5,2558
Sabicea villosa,2,2100
Saccoloma elegans,15,2150
Sapium glandulosum,1,3946
Sarcaulus brasiliensis,15,1477
Sarcopera cordachida,100,1350
Satyria warszewiczii,75,2700
Saurauia brachybotrys,206,3401
Saurauia herthae,275,2536
Saurauia pseudoleucocarpa,100,1370
Sauvagesia erecta,5,3200
Scaphosepalum swertiifolium,600,2300
Scaphyglottis prolifera,5,1750
Scaphyglottis punctulata,50,2790
Schistocarpha eupatorioides,2,3150
Schizolobium parahyba,6,2310.5
Schlegelia fastigiata,50,1320
Schlegelia fuscata,350,2350
Schlegelia sulphurea,100,880
Schnella guianensis,1,1530
Schoenobiblus panamensis,40,1360
Schradera stellata,40,1540
Sciodaphyllum cajambrense,5,2140
Sciodaphyllum lasiogyne,230,3100
Scoparia dulcis,1,3160
Selaginella bombycina,30,1300
Selaginella geniculata,2,2250
Selaginella praestans,70,1500
Senega glochidata,20,1830
Serpocaulon maritimum,5,2250
Setaria sphacelata,188,3733
Sida acuta,1,3207
Sievekingia reichenbachiana,250,1400
Simira standleyi,250,580
Siparuna multiflora,70,1500
Siparuna palenquensis,25,1200
Sloanea guianensis,6,2445
Sloanea rufa,50,2192
Sloanea tuerckheimii,40,1960
Smilax mollis,3,1980
Smilax officinalis,70,1810
Smilax purhampuy,20,3250
Smilax tomentosa,185,3548
Sobralia lancea,450,1850
Sobralia powellii,49.53,1680
Sobralia valida,350,1900
Socratea exorrhiza,5,3810
Socratea rostrata,320,2100
Solanum canense,15.24,2525
Solanum confertiseriatum,10,1900
Solanum flexicaule,36.58,1985
Solanum lepidotum,5,2400
Solanum leptorhachis,100,2442
Solanum loxophyllum,100,950
Solanum nemorense,106,2735
Solanum siphonobasis,250,3200
Solanum splendens,15,2500
Solanum torvum,3,2756
Sorocea jaramilloi,50,1700
Specklinia costaricensis,400,2900
Spermacoce exilis,5,2283
Spermacoce remota,3,2700
Sphaeradenia brachiolata,600,900
